School,Address,Phone,Email,Number of students,Number of teachers
Yale,New Haven CT,yale@gmail.com,11,3
Hudson,Miller,18,male,Canadian,Yale,Economics
Charles,Smith,20,male,Canadian,Yale,Economics
Caleb,Martinez,22,male,Spanish,Yale,Economics
Isaiah,Rodriguez,28,male,Spanish,Yale,
Ryan,Jacot,18,male,Thai,Yale,Economics
Nataliya,Habiger,20,female,Slovak,Yale,Art
Adrian,Aaberg,21,male,Spanish,Yale,Art
Christian,Smith,20,male,Canadian,Yale,Art
Maverick,Zager,18,male,Slovak,Yale,Precalculus
Colton,Faenza,19,male,Slovak,Yale,Precalculus
Anna,Somonova,18,female,Slovak,Yale,Precalculus
Ethan,Thomas,50,male,Danish,Yale,Economics
Olivia,Lopez,50,female,Spanish,Yale,Art
Sophia,Perez,29,female,Thai,Yale,Precalculus
